,Latitude,Longitude
1592,40.57440143789189,-74.09929693107453
1670,40.53564133783408,-74.20835060813572
1699,40.56201355674122,-74.11185704312398
1751,40.62720786186931,-74.12021968478503
1775,40.62145404148238,-74.12603049531016
1790,40.56223878483868,-74.11169906343954
1795,40.62256550556257,-74.11845341474297
1809,40.63653772743129,-74.16239551138537
1819,40.60870610326194,-74.16770849040813
1822,40.57374982178782,-74.10956212970333
1841,40.60870610326194,-74.16770849040813
1990,40.62105483554432,-74.11945214258462
1995,40.61982014584736,-74.13159269145459
2005,40.60306912953437,-74.1404618925272
2022,40.627938109272094,-74.1226923573356
2027,40.63119660673453,-74.12734587934422
2038,40.631107913074224,-74.12812029767991
2046,40.62692486217088,-74.1204929655323
2091,40.61823891391333,-74.10516142275114
2115,40.61388926011694,-74.10116017178362
2169,40.61823891391333,-74.10516142275114
2197,40.64290676878531,-74.07688863686029
2231,40.63094965451408,-74.12973041168952
2281,40.612561645554166,-74.1302889629646
2308,40.61823891391333,-74.10516142275114
2318,40.628827651071944,-74.0743866176229
2321,40.625591417156194,-74.11461138501308
2329,40.62470281426213,-74.13187249725898
2338,40.61823891391333,-74.10516142275114
2379,40.61241329039898,-74.13280627865346
2439,40.61199909672706,-74.12772345340295
2469,40.59047931070958,-74.06675036455586
2478,40.63071080227053,-74.11699076047378
2482,40.63393873066114,-74.12477144588674
2651,40.59438732080405,-74.06292307439475
2917,40.5528739039966,-74.19552524018883
2937,40.55961701468617,-74.14847161308288
3070,40.55302992941377,-74.20054924225174
3145,40.50875358484051,-74.23372394824885
3243,40.56145870938982,-74.11226279842101
3244,40.56202726674416,-74.11187146210581
3245,40.56202726674416,-74.11187146210581
3254,40.56195587727984,-74.11189653557997
3255,40.56202726674416,-74.11187146210581
3260,40.56202726674416,-74.11187146210581
3576,40.51327985552495,-74.24935171478245
3697,40.55184272915125,-74.16903393690103
3766,40.55164553431358,-74.13559664075682
3921,40.573623457852776,-74.10966991137248
4094,40.608974573104845,-74.11985190738557
4133,40.56040302203282,-74.18383637453262
4275,40.54930552444084,-74.19234467210455
4354,40.568761308317235,-74.11636395491414
4376,40.61357850325036,-74.11629800664771
4383,40.629574711402576,-74.12202887584446
4515,40.63574172526945,-74.16240438324421
4665,40.63133919090022,-74.10583416234861
4744,40.627081531425894,-74.15057786013283
4790,40.6135425327276,-74.11658248493906
4956,40.60761569663488,-74.08270036903956
5118,40.60360050232394,-74.17343966175495
5125,40.63000195934185,-74.11495040522453
5214,40.62889555697596,-74.16091785642723
5293,40.58550073378931,-74.16253782528071
5326,40.590627456006736,-74.07978089003821
5355,40.60864361860548,-74.16726534606376
5378,40.554772230648794,-74.19454837172115
5490,40.63491760317053,-74.15494429042693
5513,40.63590091247626,-74.16241197664169
5575,40.6026342379917,-74.07414496394941
5617,40.57040247049155,-74.13419493257001
5621,40.5599152352612,-74.18161451237003
5635,40.559920923972605,-74.18148856640498
5652,40.63652633546735,-74.14848779828216
5868,40.56324827253414,-74.18453522702355
6048,40.62123843438496,-74.13462854048282
6124,40.62047267218012,-74.13459817868652
6126,40.62123843438496,-74.13462854048282
6285,40.608974573104845,-74.11985190738557
6304,40.53326056618915,-74.17437593810888
6314,40.55252280948754,-74.16946387871306
6391,40.60914626565359,-74.11838998744342
6490,40.55704586228581,-74.15416270597251
6504,40.541251835971465,-74.20981085614555
6509,40.631123352824446,-74.11342117523373
6580,40.51912633757141,-74.19713496750717
6589,40.631123352824446,-74.11342117523373
6626,40.57984769023114,-74.07711843875376
6658,40.539827691099845,-74.14353821965422
6668,40.558965405408,-74.15551670195053
6762,40.56119255159795,-74.12290088284145
6816,40.637494390642345,-74.0842362775199
6825,40.59418123449718,-74.14287369702515
6830,40.63178383991493,-74.11164613285946
6859,40.55173273601645,-74.19991561850021
6931,40.55243801859471,-74.19999329714992
7042,40.58805554762024,-74.10077899955103
7085,40.61502218999149,-74.19206938817639
7097,40.64287317141146,-74.08920490300238
7152,40.61320844659605,-74.18840837148927
7202,40.592716019371416,-74.06727109527971
7222,40.59279749391396,-74.06874024795421
7223,40.59380967541352,-74.06981790456548
7356,40.60684776310955,-74.0892251937955
7431,40.62149044597189,-74.1462786108499
7463,40.630315359419185,-74.12499884657312
7491,40.61286237151036,-74.11046913172022
7632,40.57330254034741,-74.11776131736521
7636,40.63677683260918,-74.12974174012032
7672,40.63134474755531,-74.11156974064775
7919,40.55264973570586,-74.18503853451142
8362,40.62476825659605,-74.12738764997573
8380,40.5827434820187,-74.08850896750697
8416,40.5827434820187,-74.08850896750697
8422,40.5827434820187,-74.08850896750697
8424,40.553084173248,-74.1993474955857
8434,40.5827434820187,-74.08850896750697
8450,40.5827434820187,-74.08850896750697
8618,40.64101825592811,-74.1134848368165
8723,40.563134200066855,-74.1871802294445
8732,40.56035914167369,-74.14767430233275
8810,40.60870610326194,-74.16770849040813
8860,40.62047267218012,-74.13459817868652
8863,40.60864361860548,-74.16726534606376
8948,40.60864361860548,-74.16726534606376
9118,40.63719858517221,-74.12564948196544
9237,40.62859513877076,-74.10799136857406
9274,40.6223564156344,-74.14301685965276
9304,40.56145870938982,-74.11226279842101
9307,40.563134200066855,-74.1871802294445
9340,40.563134200066855,-74.1871802294445
9345,40.601833246339424,-74.08893040041784
9493,40.608094348790154,-74.15976566055188
9785,40.61137939566407,-74.11681641735821
9962,40.59068777504984,-74.0669918097464
9975,40.59068777504984,-74.0669918097464
9977,40.620310540092035,-74.16237043976147
10021,40.61843443716779,-74.16528353770099
10050,40.620358102213466,-74.13398918377999
10080,40.562005294283566,-74.1118858213336
10089,40.56145870938982,-74.11226279842101
10111,40.595298627256575,-74.0628627195906
10180,40.61833192518298,-74.16594606032265
10227,40.62284683783829,-74.14152296099826
10228,40.62284683783829,-74.14152296099826
10255,40.59438732080405,-74.06292307439475
10274,40.6084232169007,-74.16593583613987
10305,40.59438732080405,-74.06292307439475
10308,40.592419248566266,-74.0915787387903
10451,40.59402693178068,-74.15800365008234
10490,40.631105120105886,-74.12816352511162
10498,40.596698494888834,-74.07641772589234
10504,40.6223564156344,-74.14301685965276
10519,40.608820325899785,-74.16843268547407
10611,40.62284683783829,-74.14152296099826
10731,40.53752001784764,-74.21365946657862
10758,40.59435748067384,-74.18481924107031
10759,40.59435748067384,-74.18481924107031
11098,40.57600421920086,-74.12976768197792
11100,40.540497455803454,-74.14351447327603
11105,40.53876140642481,-74.15508832403188
11158,,
11305,40.505011617050485,-74.24073375454965
11307,40.563134200066855,-74.1871802294445
11331,40.53813456800165,-74.22106195804783
11350,40.55673164801459,-74.14018813743415
11591,40.563134200066855,-74.1871802294445
11604,40.61989710696977,-74.09196224241555
11634,40.6316297213299,-74.1175652102779
11671,40.53803574121504,-74.22106882659568
11735,40.63161304983375,-74.11776333268757
11797,40.54957833364397,-74.19817117333398
11874,40.55316108715697,-74.17031834987472
11882,40.56035914167369,-74.14767430233275
11994,40.56072746351518,-74.15761178752156
12104,40.63943259725309,-74.11540984227182
12128,40.610263526478654,-74.0672455583428
12295,40.63681424243539,-74.13769732819515
12325,40.63546407026454,-74.15062199554822
12425,40.50624988943057,-74.24829703725376
12444,40.63943259725309,-74.11540984227182
12540,40.61989710696977,-74.09196224241555
12609,40.5539094488461,-74.20144432902262
12621,40.5539094488461,-74.20144432902262
12648,40.55428525704236,-74.16165580320745
12969,40.59173410590145,-74.09024197407422
13024,40.609078080614665,-74.08351973061772
13136,40.5654171925299,-74.139396546289
13299,40.579251607117456,-74.07780173780797
13325,40.64015436680941,-74.11551918723248
13507,,
13748,40.56145870938982,-74.11226279842101
13800,40.54720659551102,-74.17098323485835
13801,40.54719271070458,-74.17109114567764
13803,40.547178825796706,-74.17119905645205
13978,40.554304663074625,-74.16151910359316
14002,40.55889912039538,-74.15581885029033
14003,40.55889912039538,-74.15581885029033
14029,40.554657828385515,-74.18056382066622
14118,40.56145870938982,-74.11226279842101
14183,40.59193837034857,-74.09225139483205
14307,40.583390266064086,-74.08978428019087
14360,40.61085437801203,-74.07062088754867
14370,40.56145870938982,-74.11226279842101
14466,40.60330740680139,-74.17304276440457
14502,40.539090379640065,-74.15538770271763
14505,40.504889868994425,-74.23857215524238
14580,40.59043268787226,-74.18803086434154
